timestamp,objectid_12_13,objectid,depcode,county,countyname,datestamp,shape_st_are,shape_st_len,objectid_1,county_1,state,objectid_12,depcode_1,countyn,pu_is_total,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80plus,age_unkn,c_age_0_9,c_age_10_19,c_age_20_29,c_age_30_39,c_age_40_49,c_age_50_59,c_age_60_69,c_age_70_79,c_age_80plus,c_age_unkn,pui_age_range,pui_age_avrg,c_age_range,c_age_avrg,c_all_res_types,c_non_res_deaths,pui_female,pui_male,pui_sex_unkn,puifl_res,pui_not_fl_res,puifl_res_out,pui_travel_no,pui_travel_unkn,pui_travel_yes,c_ed_no,c_ed_no_data,c_ed_yes,c_hosp_no,c_hosp_nodata,c_hosp_yes,fl_res_deaths,pui_lab_yes,t_positive,t_negative,t_inconc,t_pending,pui_cont_no,pui_cont_unkn,pui_cont_yes,cases_all,c_men,c_women,c_travel_yes,c_travel_no,c_travel_unkn,c_fl_res,c_not_fl_res,c_fl_res_out,t_neg_res,t_neg_not_fl_res,t_pend_res,t_pend_not_res,t_total,t_negative_2,t_pending_2,t_positive_2,f_land_non_fl_deaths,ever_mon,mon_now,shape_area,shape_length,age_0_4,age_5_14,age_15_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85plus,c_age_0_4,c_age_5_14,c_age_15_24,c_age_25_34,c_age_35_44,c_age_45_54,c_age_55_64,c_age_65_74,c_age_75_84,c_age_85plus,pui_fl_res,pui_non_res,c_fl_res_only,deaths1,deaths
2020-03-30T232653,16,16,12,023,COLUMBIA,2000-05-16T00:00:00.000Z,22266487302.2026,905417.470831242,12,Columbia,FL,16,12,23,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 to 98,0,46 to 70,44,3,0,86,67,0,151,2,0,57,91,5,0,3,0,3,0,0,0,121,3,117,1,32,61,32,16,3,1,2,NA,NA,NA,3,0,0,116,1,NA,NA,153,117,NA,3,NA,6,6,2068684690.43686,276060.430857214,11,12,14,14,21,19,27,20,11,3,0,0,0,0,0,2,0,1,0,0,NA,NA,NA,NA,0
2020-03-30T232653,17,17,2,003,BAKER,2000-05-16T00:00:00.000Z,16362161453.2611,602717.294368568,2,Baker,FL,17,2,3,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 to 99,0,55 to 97,54,8,0,45,18,4,66,1,0,41,23,3,6,1,1,6,0,2,0,66,8,58,0,1,13,16,13,8,4,4,NA,NA,NA,8,0,0,57,1,NA,NA,67,58,NA,8,NA,1,0,1520245937.66486,183737.354704368,0,4,5,8,3,15,7,7,11,7,0,0,0,0,0,0,2,1,3,2,NA,NA,NA,NA,0
2020-03-30T232653,18,18,30,059,HOLMES,2000-05-16T00:00:00.000Z,13514831669.2324,577279.375441074,30,Holmes,FL,18,30,59,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0 to 79,0,27 to 27,43,1,0,19,9,4,32,0,0,1,31,0,0,1,0,0,1,0,0,28,1,27,0,4,0,1,0,1,1,0,NA,NA,NA,1,0,0,27,0,NA,NA,32,27,NA,1,NA,2,2,1251550190.83949,175658.620344926,3,2,1,4,3,9,5,3,1,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,0
2020-03-30T232653,19,19,43,085,MARTIN,2000-05-16T00:00:00.000Z,18163212069.3958,1014294.81270012,43,Martin,FL,19,43,85,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 to 99,0,20 to 80,57,25,0,148,106,16,268,2,0,17,235,18,17,0,10,23,0,4,0,268,27,241,0,2,21,12,10,27,17,10,NA,NA,NA,25,2,0,241,0,NA,NA,270,241,NA,27,NA,54,48,1686613017.08661,308980.48751506,2,4,18,22,33,34,40,59,36,22,0,0,1,2,2,7,5,4,6,0,NA,NA,NA,NA,0
2020-03-30T232653,20,20,29,057,HILLSBOROUGH,2000-05-16T00:00:00.000Z,29564028944.0196,1177196.95995299,29,Hillsborough,FL,20,29,57,4192,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0 to 119,0,0 to 93,44,265,0,2463,1707,22,4144,48,0,168,3911,113,80,117,75,173,54,45,2,4183,272,3911,0,9,182,104,130,272,139,132,NA,NA,NA,265,7,0,3871,40,NA,NA,4192,3911,NA,272,NA,580,267,2746844886.16013,358788.307034344,147,113,398,799,752,622,596,434,224,104,2,7,32,59,48,47,44,22,8,3,NA,NA,NA,NA,2
2020-03-30T232653,21,21,41,081,MANATEE,2000-05-16T00:00:00.000Z,20940887080.7074,1218253.44408563,41,Manatee,FL,21,41,81,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0 to 100,0,14 to 86,55,42,0,191,156,5,348,4,0,44,296,12,4,28,10,16,12,14,1,345,42,303,0,7,28,48,22,42,23,19,NA,NA,NA,42,0,0,299,4,NA,NA,352,303,NA,42,NA,137,79,1945653927.12581,371198.171414394,7,7,21,33,39,54,56,72,35,26,0,1,0,3,2,8,12,9,6,1,NA,NA,NA,NA,1
2020-03-30T232653,22,22,10,019,CLAY,2000-05-16T00:00:00.000Z,17948500957.6093,603117.810216635,10,Clay,FL,22,10,19,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 to 97,0,18 to 94,52,34,0,220,148,4,370,2,0,77,278,17,15,2,17,17,2,15,5,369,34,335,0,3,39,21,37,34,16,18,NA,NA,NA,34,0,0,333,2,NA,NA,372,335,NA,34,NA,33,21,1667659896.51059,183856.484298748,1,6,23,37,52,82,77,50,32,12,0,0,3,6,1,7,6,4,3,4,NA,NA,NA,NA,5
2020-03-30T232653,23,23,25,049,HARDEE,2000-05-16T00:00:00.000Z,17792803499.7252,543261.536630456,25,Hardee,FL,23,25,49,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 to 89,0,NA,55,0,0,10,5,0,14,1,0,1,13,1,0,0,0,0,0,0,0,15,0,15,0,0,1,1,0,0,0,0,NA,NA,NA,0,0,0,14,1,NA,NA,15,15,NA,0,NA,0,0,1653184151.65315,165534.73009074,1,0,0,1,2,2,3,5,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0
2020-03-30T232653,24,24,42,083,MARION,2000-05-16T00:00:00.000Z,46334209241.8729,1151393.60736949,42,Marion,FL,24,42,83,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0 to 97,0,19 to 88,52,22,0,418,266,16,697,3,0,33,626,41,19,0,4,21,0,2,0,543,23,520,0,157,104,252,36,23,8,15,NA,NA,NA,22,1,0,519,1,NA,NA,700,520,NA,23,NA,80,75,4305055841.62241,350920.190673371,12,15,57,70,96,104,109,134,71,30,0,0,3,4,2,5,4,4,0,1,NA,NA,NA,NA,0
2020-03-30T232653,25,25,64,127,VOLUSIA,2000-05-16T00:00:00.000Z,33645647575.2893,1837935.99794766,65,Volusia,FL,25,64,127,718,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0 to 94,0,17 to 89,49,67,0,445,266,7,713,5,0,51,603,64,40,8,21,46,7,16,1,714,69,645,0,4,36,34,50,69,32,37,NA,NA,NA,67,2,0,642,3,NA,NA,718,645,NA,69,NA,207,144,3125661534.15881,560414.737839251,20,17,43,110,113,92,121,124,62,15,0,0,6,9,11,10,7,20,5,1,NA,NA,NA,NA,1
