timestamp,county,covid_hospitalizations,covid_hospitalizations_update_9_29_remove_minus
2020-07-14T070143,ESCAMBIA,160,NA
2020-07-14T070143,FLAGLER,20,NA
2020-07-14T070143,FRANKLIN,0,NA
2020-07-14T070143,GADSDEN,0,NA
2020-07-14T070143,GULF,2,NA
2020-07-14T070143,HARDEE,0,NA
2020-07-14T070143,HENDRY,5,NA
2020-07-14T070143,HERNANDO,62,NA
2020-07-14T070143,HIGHLANDS,45,NA
2020-07-14T070143,HILLSBOROUGH,265,NA
2020-07-14T070143,HOLMES,0,NA
2020-07-14T070143,INDIAN RIVER,34,NA
2020-07-14T070143,JACKSON,33,NA
2020-07-14T070143,LAKE,113,NA
2020-07-14T070143,LEE,234,NA
2020-07-14T070143,LEON,71,NA
2020-07-14T070143,MADISON,0,NA
2020-07-14T070143,MANATEE,89,NA
2020-07-14T070143,MARION,97,NA
2020-07-14T070143,MARTIN,48,NA
2020-07-14T070143,MIAMI-DADE,"1,808",NA
2020-07-14T070143,MONROE,15,NA
2020-07-14T070143,NASSAU,6,NA
2020-07-14T070143,OKALOOSA,39,NA
2020-07-14T070143,OKEECHOBEE,14,NA
2020-07-14T070143,ORANGE,561,NA
2020-07-14T070143,OSCEOLA,202,NA
2020-07-14T070143,PALM BEACH,622,NA
2020-07-14T070143,PASCO,97,NA
2020-07-14T070143,PINELLAS,215,NA
2020-07-14T070143,POLK,142,NA
2020-07-14T070143,PUTNAM,21,NA
2020-07-14T070143,SANTA ROSA,20,NA
2020-07-14T070143,SARASOTA,129,NA
2020-07-14T070143,SEMINOLE,164,NA
2020-07-14T070143,ST. JOHNS,36,NA
2020-07-14T070143,ST. LUCIE,130,NA
2020-07-14T070143,SUMTER,20,NA
2020-07-14T070143,SUWANNEE,0,NA
2020-07-14T070143,TAYLOR,0,NA
2020-07-14T070143,UNION,0,NA
2020-07-14T070143,VOLUSIA,142,NA
2020-07-14T070143,WALTON,4,NA
2020-07-14T070143,WASHINGTON,4,NA
2020-07-14T070143,All,"8,050",NA
2020-07-14T120021,ALACHUA,115,NA
2020-07-14T120021,BAKER,37,NA
2020-07-14T120021,BAY,66,NA
2020-07-14T120021,BREVARD,126,NA
2020-07-14T120021,BROWARD,"1,220",NA
2020-07-14T120021,CALHOUN,1,NA
2020-07-14T120021,CHARLOTTE,40,NA
2020-07-14T120021,CITRUS,20,NA
2020-07-14T120021,CLAY,61,NA
2020-07-14T120021,COLLIER,118,NA
2020-07-14T120021,COLUMBIA,20,NA
2020-07-14T120021,DESOTO,2,NA
2020-07-14T120021,DUVAL,515,NA
2020-07-14T120021,ESCAMBIA,167,NA
2020-07-14T120021,FLAGLER,20,NA
